Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
Westfield World Trade Center,Robinson Tote,Yellow,Coated Canvas,Small,Da Nang,38,17,55,Winter,223,178,2,-176
South Coast Plaza,T Monogram Tote,Pink,Leather,Large,Guangzhou,32,16,48,Spring,239,286,158,-128
San Francisco Centre,Britten Tote,Blue,Leather,Mini,Ho Chi Minh City,40,15,55,Summer,117,117,125,8
The Galleria,T Monogram Tote,Black,Coated Canvas,Small,Guangzhou,43,18,61,Winter,224,179,116,-63
Aventura Mall,Perry Tote,Pink,Leather,Medium,Ho Chi Minh City,37,15,52,Summer,159,159,139,-20
South Coast Plaza,Gemini Link Tote,Gray,Pebbled Leather,Medium,Ho Chi Minh City,42,14,56,Winter,294,235,119,-116
Bal Harbour Shops,Gemini Link Tote,Yellow,Jacquard,Mini,Da Nang,32,16,48,Summer,95,95,142,47
NorthPark Center,Britten Tote,Red,Canvas,Large,Hanoi,35,14,49,Spring,257,308,272,-36
Aventura Mall,McGraw Tote,Multi,Canvas,Large,Da Nang,49,15,64,Fall,162,178,19,-159
South Coast Plaza,T Monogram Tote,Black,Pebbled Leather,Mini,Shenzhen,38,16,54,Spring,171,205,40,-165
Pacific Centre,McGraw Tote,Black,Pebbled Leather,Large,Hanoi,43,18,61,Spring,281,337,125,-212
San Francisco Centre,McGraw Tote,Brown,Pebbled Leather,Small,Shenzhen,46,17,63,Summer,164,164,154,-10
Rodeo Drive,Perry Tote,Purple,Pebbled Leather,Mini,Shenzhen,40,17,57,Spring,138,165,70,-95
Rodeo Drive,Kira Chevron Tote,Pink,Leather,Large,Hanoi,40,17,57,Summer,213,213,101,-112
Oak Street,McGraw Tote,Green,Jacquard,Mini,Guangzhou,30,18,48,Summer,263,263,148,-115
El Palacio de Hierro (Santa Fe),Gemini Link Tote,White,Pebbled Leather,Small,Ho Chi Minh City,42,16,58,Winter,71,56,86,30
San Francisco Centre,Gemini Link Tote,Red,Jacquard,Medium,Guangzhou,35,15,50,Fall,202,222,227,5
El Palacio de Hierro (Polanco),Perry Tote,Red,Canvas,Large,Ho Chi Minh City,35,17,52,Summer,114,114,51,-63
Pacific Centre,Robinson Tote,Gray,Jacquard,Large,Shenzhen,39,15,54,Winter,160,128,118,-10
Aventura Mall,Perry Tote,Multi,Pebbled Leather,Medium,Guangzhou,47,18,65,Fall,82,90,14,-76
NorthPark Center,Kira Chevron Tote,Brown,Coated Canvas,Large,Shenzhen,46,18,64,Spring,113,135,127,-8
Yorkdale Shopping Centre,Robinson Tote,Green,Leather,Large,Ho Chi Minh City,39,14,53,Winter,78,62,11,-51
The Galleria,Kira Chevron Tote,Blue,Canvas,Small,Ho Chi Minh City,43,18,61,Winter,208,166,170,4
El Palacio de Hierro (Santa Fe),McGraw Tote,Brown,Canvas,Small,Da Nang,38,18,56,Winter,138,110,60,-50
Madison Avenue,Gemini Link Tote,Brown,Pebbled Leather,Mini,Guangzhou,50,18,68,Spring,55,66,96,30
Oak Street,Kira Chevron Tote,Green,Coated Canvas,Medium,Guangzhou,34,17,51,Fall,235,258,211,-47
El Palacio de Hierro (Santa Fe),Perry Tote,Black,Coated Canvas,Large,Da Nang,41,14,55,Spring,124,148,52,-96
Westfield World Trade Center,T Monogram Tote,Pink,Canvas,Mini,Da Nang,36,17,53,Winter,129,103,17,-86
South Coast Plaza,Gemini Link Tote,Multi,Jacquard,Mini,Guangzhou,50,17,67,Winter,281,224,156,-68
San Francisco Centre,McGraw Tote,Brown,Leather,Mini,Ho Chi Minh City,40,15,55,Winter,62,49,21,-28
The Galleria,Gemini Link Tote,Beige,Leather,Mini,Hanoi,40,16,56,Fall,280,308,187,-121
NorthPark Center,Britten Tote,Black,Leather,Small,Shenzhen,38,16,54,Summer,176,176,211,35
Aventura Mall,Perry Tote,Green,Leather,Medium,Hanoi,50,16,66,Summer,75,75,33,-42
Oak Street,Gemini Link Tote,Black,Jacquard,Large,Shenzhen,50,17,67,Winter,255,204,206,2
Bal Harbour Shops,Perry Tote,Purple,Coated Canvas,Mini,Hanoi,32,15,47,Winter,118,94,132,38
The Galleria,T Monogram Tote,Green,Pebbled Leather,Medium,Shenzhen,41,14,55,Fall,190,209,21,-188
The Galleria,Britten Tote,Purple,Pebbled Leather,Small,Hanoi,33,16,49,Winter,298,238,193,-45
San Francisco Centre,Perry Tote,Gray,Leather,Mini,Hanoi,34,18,52,Winter,180,144,133,-11
Oak Street,T Monogram Tote,Brown,Jacquard,Mini,Guangzhou,34,16,50,Summer,194,194,187,-7
San Francisco Centre,Robinson Tote,Brown,Leather,Medium,Hanoi,47,14,61,Summer,50,50,43,-7
NorthPark Center,Robinson Tote,Beige,Coated Canvas,Mini,Hanoi,42,15,57,Fall,183,201,170,-31
El Palacio de Hierro (Santa Fe),Ella Tote,White,Coated Canvas,Large,Guangzhou,41,16,57,Spring,113,135,115,-20
Yorkdale Shopping Centre,Gemini Link Tote,Brown,Jacquard,Large,Guangzhou,50,18,68,Spring,128,153,85,-68
NorthPark Center,T Monogram Tote,Yellow,Leather,Large,Hanoi,37,17,54,Fall,216,237,210,-27
Pacific Centre,Ella Tote,Gray,Leather,Mini,Hanoi,46,14,60,Spring,226,271,109,-162
The Galleria,McGraw Tote,Brown,Leather,Large,Guangzhou,34,18,52,Fall,153,168,50,-118
NorthPark Center,Robinson Tote,Purple,Coated Canvas,Small,Ho Chi Minh City,43,14,57,Fall,113,124,162,38
Bal Harbour Shops,Britten Tote,Gray,Coated Canvas,Medium,Da Nang,34,15,49,Summer,84,84,5,-79
South Coast Plaza,Robinson Tote,Red,Coated Canvas,Small,Shenzhen,38,16,54,Spring,267,320,216,-104
Rodeo Drive,Perry Tote,Green,Coated Canvas,Large,Shenzhen,49,16,65,Winter,197,157,113,-44
Oak Street,Kira Chevron Tote,Multi,Coated Canvas,Mini,Shenzhen,33,18,51,Spring,255,306,291,-15
El Palacio de Hierro (Polanco),Kira Chevron Tote,Multi,Pebbled Leather,Large,Shenzhen,42,17,59,Spring,165,198,45,-153
NorthPark Center,Robinson Tote,Brown,Coated Canvas,Large,Ho Chi Minh City,50,16,66,Summer,198,198,141,-57
Pacific Centre,Kira Chevron Tote,Blue,Canvas,Medium,Shenzhen,32,14,46,Fall,193,212,72,-140
Aventura Mall,Gemini Link Tote,White,Pebbled Leather,Mini,Ho Chi Minh City,36,18,54,Spring,143,171,101,-70
South Coast Plaza,Gemini Link Tote,Pink,Leather,Small,Ho Chi Minh City,46,16,62,Summer,236,236,188,-48
Bal Harbour Shops,T Monogram Tote,Blue,Jacquard,Large,Hanoi,42,15,57,Summer,70,70,65,-5
Oak Street,Britten Tote,Blue,Coated Canvas,Medium,Hanoi,50,15,65,Fall,118,129,102,-27
San Francisco Centre,Gemini Link Tote,Multi,Canvas,Small,Da Nang,32,16,48,Spring,172,206,180,-26
Soho,T Monogram Tote,Metallic,Leather,Mini,Guangzhou,49,18,67,Winter,249,199,1,-198
El Palacio de Hierro (Santa Fe),Ella Tote,Purple,Leather,Small,Da Nang,36,16,52,Spring,295,354,289,-65
Soho,Gemini Link Tote,Black,Coated Canvas,Large,Hanoi,31,16,47,Winter,243,194,102,-92
Bal Harbour Shops,Perry Tote,Yellow,Canvas,Medium,Hanoi,36,18,54,Fall,167,183,114,-69
NorthPark Center,McGraw Tote,Gray,Canvas,Medium,Ho Chi Minh City,34,18,52,Fall,65,71,75,4
Aventura Mall,Gemini Link Tote,Beige,Pebbled Leather,Large,Hanoi,50,15,65,Summer,122,122,25,-97
Pacific Centre,Ella Tote,Purple,Leather,Medium,Da Nang,45,14,59,Winter,212,169,29,-140
Madison Avenue,Britten Tote,Beige,Coated Canvas,Small,Guangzhou,42,14,56,Winter,220,176,88,-88
Westfield World Trade Center,Ella Tote,Green,Leather,Large,Hanoi,41,14,55,Spring,234,280,330,50
El Palacio de Hierro (Polanco),Perry Tote,Beige,Pebbled Leather,Mini,Guangzhou,46,14,60,Summer,120,120,26,-94
Pacific Centre,Britten Tote,Purple,Jacquard,Large,Ho Chi Minh City,46,15,61,Spring,187,224,36,-188
Westfield World Trade Center,T Monogram Tote,Blue,Coated Canvas,Large,Ho Chi Minh City,36,14,50,Winter,180,144,118,-26
El Palacio de Hierro (Santa Fe),Ella Tote,Gray,Leather,Small,Shenzhen,32,15,47,Summer,147,147,150,3
El Palacio de Hierro (Santa Fe),T Monogram Tote,Beige,Coated Canvas,Mini,Shenzhen,44,17,61,Spring,269,322,307,-15
The Galleria,T Monogram Tote,Gray,Canvas,Medium,Ho Chi Minh City,37,14,51,Winter,276,220,130,-90
Soho,Perry Tote,Pink,Canvas,Large,Hanoi,49,14,63,Fall,63,69,111,42
Westfield World Trade Center,Robinson Tote,Purple,Coated Canvas,Large,Ho Chi Minh City,39,17,56,Winter,282,225,221,-4
South Coast Plaza,Perry Tote,Multi,Leather,Mini,Guangzhou,50,15,65,Summer,246,246,280,34
Oak Street,Kira Chevron Tote,Gray,Coated Canvas,Medium,Shenzhen,40,14,54,Summer,128,128,121,-7
Rodeo Drive,Ella Tote,Pink,Leather,Small,Ho Chi Minh City,43,18,61,Spring,166,199,74,-125
Yorkdale Shopping Centre,T Monogram Tote,Purple,Leather,Small,Guangzhou,33,14,47,Fall,56,61,6,-55
Rodeo Drive,Britten Tote,Blue,Canvas,Medium,Da Nang,42,14,56,Winter,167,133,85,-48
Aventura Mall,Kira Chevron Tote,Gray,Pebbled Leather,Mini,Guangzhou,50,17,67,Spring,128,153,103,-50
The Galleria,Britten Tote,Pink,Coated Canvas,Small,Shenzhen,32,18,50,Winter,74,59,71,12
Soho,T Monogram Tote,Red,Jacquard,Mini,Shenzhen,34,16,50,Summer,108,108,100,-8
Rodeo Drive,Ella Tote,Multi,Leather,Medium,Shenzhen,43,17,60,Spring,233,279,151,-128
San Francisco Centre,T Monogram Tote,Pink,Leather,Medium,Hanoi,40,15,55,Spring,165,198,40,-158
San Francisco Centre,Ella Tote,Multi,Pebbled Leather,Mini,Da Nang,32,16,48,Summer,296,296,243,-53
Madison Avenue,Perry Tote,Metallic,Coated Canvas,Large,Hanoi,30,14,44,Summer,282,282,23,-259
Rodeo Drive,Perry Tote,Brown,Canvas,Small,Guangzhou,45,17,62,Summer,172,172,188,16
El Palacio de Hierro (Polanco),Ella Tote,Pink,Jacquard,Medium,Hanoi,42,14,56,Winter,282,225,183,-42
Oak Street,Gemini Link Tote,Metallic,Canvas,Mini,Shenzhen,34,15,49,Summer,238,238,77,-161
San Francisco Centre,Ella Tote,Black,Jacquard,Medium,Da Nang,48,14,62,Spring,89,106,70,-36
Rodeo Drive,McGraw Tote,Brown,Canvas,Medium,Hanoi,45,16,61,Fall,252,277,111,-166
San Francisco Centre,Robinson Tote,Red,Jacquard,Small,Da Nang,49,17,66,Summer,235,235,141,-94
Westfield World Trade Center,Britten Tote,Purple,Leather,Medium,Shenzhen,36,14,50,Spring,155,186,30,-156
Soho,Kira Chevron Tote,Metallic,Leather,Small,Shenzhen,36,18,54,Winter,84,67,114,47
NorthPark Center,McGraw Tote,Beige,Canvas,Small,Ho Chi Minh City,30,18,48,Summer,190,190,173,-17
Pacific Centre,Robinson Tote,Blue,Jacquard,Large,Hanoi,50,14,64,Winter,163,130,60,-70
The Galleria,Britten Tote,Black,Pebbled Leather,Large,Da Nang,42,18,60,Fall,166,182,46,-136
Bal Harbour Shops,Britten Tote,Yellow,Coated Canvas,Medium,Guangzhou,39,18,57,Summer,188,188,106,-82
South Coast Plaza,Gemini Link Tote,White,Leather,Medium,Guangzhou,34,16,50,Summer,56,56,13,-43
Soho,McGraw Tote,Brown,Jacquard,Small,Shenzhen,33,14,47,Spring,225,270,228,-42
San Francisco Centre,Kira Chevron Tote,Yellow,Leather,Mini,Hanoi,42,14,56,Winter,287,229,14,-215
El Palacio de Hierro (Santa Fe),McGraw Tote,Brown,Leather,Large,Da Nang,49,18,67,Spring,219,262,291,29
South Coast Plaza,Britten Tote,Green,Leather,Mini,Guangzhou,38,17,55,Fall,226,248,93,-155
Bal Harbour Shops,Britten Tote,Black,Canvas,Mini,Ho Chi Minh City,35,17,52,Spring,62,74,10,-64
NorthPark Center,McGraw Tote,Multi,Jacquard,Mini,Ho Chi Minh City,35,14,49,Summer,57,57,44,-13
San Francisco Centre,Britten Tote,Beige,Canvas,Small,Hanoi,36,16,52,Winter,263,210,42,-168
South Coast Plaza,McGraw Tote,Black,Coated Canvas,Large,Ho Chi Minh City,47,14,61,Spring,253,303,75,-228
Westfield World Trade Center,McGraw Tote,Pink,Pebbled Leather,Small,Da Nang,45,18,63,Summer,163,163,188,25
Bal Harbour Shops,Britten Tote,Blue,Canvas,Large,Guangzhou,48,18,66,Spring,142,170,93,-77
Bal Harbour Shops,Kira Chevron Tote,Red,Coated Canvas,Mini,Shenzhen,35,16,51,Fall,198,217,262,45
Westfield World Trade Center,Robinson Tote,Pink,Leather,Mini,Ho Chi Minh City,37,15,52,Spring,99,118,118,0
Pacific Centre,Ella Tote,Metallic,Leather,Mini,Ho Chi Minh City,45,18,63,Fall,261,287,207,-80
The Galleria,McGraw Tote,Multi,Coated Canvas,Medium,Guangzhou,43,16,59,Winter,272,217,21,-196
Westfield World Trade Center,Perry Tote,Purple,Jacquard,Large,Da Nang,50,17,67,Spring,146,175,7,-168
Aventura Mall,Kira Chevron Tote,Pink,Jacquard,Small,Da Nang,44,15,59,Fall,185,203,48,-155
Soho,Kira Chevron Tote,Gray,Canvas,Small,Guangzhou,31,16,47,Fall,105,115,35,-80
Rodeo Drive,Robinson Tote,Purple,Jacquard,Large,Da Nang,33,14,47,Fall,275,302,298,-4
Aventura Mall,Gemini Link Tote,Blue,Jacquard,Mini,Ho Chi Minh City,47,17,64,Summer,206,206,176,-30
El Palacio de Hierro (Santa Fe),Robinson Tote,Brown,Canvas,Mini,Guangzhou,32,17,49,Summer,143,143,8,-135
Bal Harbour Shops,T Monogram Tote,Purple,Coated Canvas,Large,Hanoi,43,17,60,Summer,231,231,279,48
Bal Harbour Shops,Kira Chevron Tote,Green,Coated Canvas,Large,Da Nang,47,15,62,Spring,206,247,101,-146
Yorkdale Shopping Centre,T Monogram Tote,Gray,Canvas,Mini,Da Nang,36,17,53,Summer,128,128,59,-69
Pacific Centre,Gemini Link Tote,Metallic,Pebbled Leather,Small,Guangzhou,45,16,61,Spring,290,348,90,-258
Oak Street,Gemini Link Tote,Green,Canvas,Medium,Shenzhen,33,16,49,Winter,181,144,134,-10
Aventura Mall,Gemini Link Tote,Multi,Coated Canvas,Large,Da Nang,40,18,58,Fall,216,237,116,-121
Soho,T Monogram Tote,Purple,Jacquard,Mini,Shenzhen,39,17,56,Spring,158,189,51,-138
Bal Harbour Shops,Kira Chevron Tote,Purple,Leather,Mini,Ho Chi Minh City,40,17,57,Fall,274,301,316,15
South Coast Plaza,Ella Tote,Gray,Jacquard,Medium,Da Nang,35,14,49,Summer,166,166,107,-59
Aventura Mall,Robinson Tote,Yellow,Leather,Medium,Guangzhou,45,14,59,Fall,284,312,148,-164
Bal Harbour Shops,Ella Tote,White,Pebbled Leather,Mini,Shenzhen,34,17,51,Winter,251,200,163,-37
Pacific Centre,Perry Tote,Green,Leather,Small,Hanoi,38,16,54,Summer,187,187,72,-115
Aventura Mall,Britten Tote,Red,Canvas,Mini,Shenzhen,38,14,52,Spring,105,126,116,-10
Soho,T Monogram Tote,Green,Jacquard,Small,Ho Chi Minh City,38,16,54,Fall,218,239,108,-131
The Galleria,McGraw Tote,Green,Pebbled Leather,Mini,Shenzhen,31,18,49,Fall,296,325,37,-288
Yorkdale Shopping Centre,Robinson Tote,Blue,Coated Canvas,Small,Da Nang,47,14,61,Fall,182,200,236,36
San Francisco Centre,Gemini Link Tote,Blue,Coated Canvas,Mini,Ho Chi Minh City,50,15,65,Winter,152,121,51,-70
South Coast Plaza,McGraw Tote,Beige,Canvas,Medium,Guangzhou,37,17,54,Winter,51,40,32,-8
Madison Avenue,T Monogram Tote,Metallic,Leather,Mini,Da Nang,50,15,65,Spring,170,204,180,-24
Aventura Mall,Kira Chevron Tote,Yellow,Coated Canvas,Medium,Da Nang,49,14,63,Fall,68,74,95,21
El Palacio de Hierro (Polanco),Robinson Tote,Red,Canvas,Large,Guangzhou,33,17,50,Summer,67,67,76,9
El Palacio de Hierro (Polanco),Gemini Link Tote,White,Canvas,Large,Da Nang,45,17,62,Winter,185,148,178,30
Bal Harbour Shops,Kira Chevron Tote,Multi,Jacquard,Medium,Ho Chi Minh City,41,15,56,Summer,96,96,52,-44
Aventura Mall,Robinson Tote,Beige,Leather,Mini,Hanoi,42,17,59,Summer,227,227,122,-105
Westfield World Trade Center,T Monogram Tote,Blue,Canvas,Small,Hanoi,49,18,67,Fall,98,107,156,49
Yorkdale Shopping Centre,McGraw Tote,Brown,Leather,Mini,Da Nang,50,16,66,Spring,167,200,204,4
Pacific Centre,T Monogram Tote,Metallic,Coated Canvas,Medium,Hanoi,42,14,56,Spring,158,189,117,-72
El Palacio de Hierro (Santa Fe),T Monogram Tote,Yellow,Pebbled Leather,Small,Da Nang,37,17,54,Spring,244,292,195,-97
El Palacio de Hierro (Santa Fe),Britten Tote,White,Canvas,Medium,Da Nang,45,17,62,Winter,91,72,104,32
Bal Harbour Shops,Robinson Tote,Purple,Leather,Medium,Da Nang,47,14,61,Spring,89,106,77,-29
Soho,T Monogram Tote,Black,Jacquard,Large,Hanoi,30,16,46,Spring,126,151,138,-13
NorthPark Center,T Monogram Tote,Brown,Canvas,Small,Da Nang,47,16,63,Spring,95,114,129,15
Aventura Mall,Britten Tote,Beige,Pebbled Leather,Medium,Ho Chi Minh City,33,16,49,Winter,123,98,28,-70
Madison Avenue,Perry Tote,Brown,Pebbled Leather,Medium,Da Nang,32,15,47,Fall,263,289,311,22
Rodeo Drive,Robinson Tote,Purple,Leather,Large,Shenzhen,49,15,64,Spring,230,276,182,-94
Oak Street,Perry Tote,Multi,Pebbled Leather,Large,Ho Chi Minh City,39,15,54,Fall,132,145,78,-67
Rodeo Drive,Ella Tote,Pink,Leather,Medium,Hanoi,40,16,56,Winter,267,213,61,-152
San Francisco Centre,Gemini Link Tote,Pink,Pebbled Leather,Large,Hanoi,32,18,50,Fall,52,57,107,50
Westfield World Trade Center,Perry Tote,Brown,Coated Canvas,Mini,Ho Chi Minh City,49,18,67,Winter,282,225,216,-9
Aventura Mall,Perry Tote,Blue,Canvas,Small,Hanoi,49,17,66,Summer,52,52,71,19
Yorkdale Shopping Centre,Ella Tote,Green,Pebbled Leather,Mini,Hanoi,39,17,56,Spring,121,145,147,2
South Coast Plaza,Ella Tote,Brown,Canvas,Medium,Guangzhou,44,15,59,Spring,79,94,16,-78
Bal Harbour Shops,Robinson Tote,Beige,Jacquard,Medium,Guangzhou,48,17,65,Summer,182,182,225,43
South Coast Plaza,Kira Chevron Tote,Brown,Leather,Mini,Guangzhou,43,15,58,Summer,215,215,145,-70
San Francisco Centre,Perry Tote,Beige,Pebbled Leather,Small,Ho Chi Minh City,33,14,47,Fall,268,294,85,-209
South Coast Plaza,T Monogram Tote,Green,Pebbled Leather,Large,Guangzhou,40,16,56,Winter,55,44,74,30
Madison Avenue,Robinson Tote,Gray,Canvas,Small,Ho Chi Minh City,44,17,61,Winter,211,168,157,-11
Pacific Centre,Ella Tote,Green,Coated Canvas,Large,Ho Chi Minh City,48,16,64,Spring,219,262,45,-217
El Palacio de Hierro (Santa Fe),McGraw Tote,Black,Pebbled Leather,Small,Da Nang,44,17,61,Fall,81,89,52,-37
Oak Street,T Monogram Tote,Beige,Coated Canvas,Small,Ho Chi Minh City,31,14,45,Winter,215,172,27,-145
Pacific Centre,Kira Chevron Tote,Blue,Coated Canvas,Small,Da Nang,37,14,51,Spring,239,286,230,-56
El Palacio de Hierro (Polanco),Robinson Tote,Brown,Pebbled Leather,Small,Ho Chi Minh City,38,17,55,Winter,106,84,78,-6
Westfield World Trade Center,Gemini Link Tote,Purple,Coated Canvas,Large,Guangzhou,43,16,59,Winter,292,233,204,-29
Pacific Centre,Britten Tote,Brown,Canvas,Mini,Hanoi,50,16,66,Summer,171,171,205,34
South Coast Plaza,Perry Tote,Yellow,Canvas,Mini,Shenzhen,46,18,64,Summer,229,229,86,-143
Rodeo Drive,Britten Tote,Multi,Canvas,Medium,Guangzhou,45,15,60,Spring,114,136,45,-91
Aventura Mall,Robinson Tote,Brown,Jacquard,Small,Shenzhen,44,14,58,Summer,125,125,154,29
Madison Avenue,Robinson Tote,Blue,Jacquard,Large,Guangzhou,41,18,59,Summer,155,155,7,-148
Yorkdale Shopping Centre,Gemini Link Tote,White,Jacquard,Small,Shenzhen,34,14,48,Fall,158,173,51,-122
El Palacio de Hierro (Polanco),McGraw Tote,Blue,Leather,Large,Shenzhen,39,18,57,Spring,97,116,152,36
Pacific Centre,T Monogram Tote,Gray,Canvas,Small,Da Nang,38,15,53,Spring,220,264,162,-102
Yorkdale Shopping Centre,Ella Tote,Gray,Coated Canvas,Medium,Shenzhen,36,18,54,Winter,283,226,219,-7
San Francisco Centre,Gemini Link Tote,Blue,Canvas,Mini,Shenzhen,43,17,60,Spring,206,247,107,-140
Aventura Mall,Robinson Tote,Green,Jacquard,Medium,Hanoi,41,18,59,Winter,246,196,49,-147
Soho,Robinson Tote,Yellow,Leather,Mini,Da Nang,30,16,46,Summer,149,149,58,-91
Madison Avenue,Ella Tote,Gray,Coated Canvas,Small,Ho Chi Minh City,35,15,50,Winter,149,119,92,-27
The Galleria,Britten Tote,Blue,Leather,Medium,Guangzhou,46,17,63,Summer,151,151,66,-85
Rodeo Drive,Kira Chevron Tote,White,Leather,Medium,Shenzhen,40,15,55,Summer,50,50,18,-32
Oak Street,Britten Tote,Multi,Coated Canvas,Large,Da Nang,43,14,57,Winter,152,121,158,37
The Galleria,Perry Tote,Metallic,Leather,Medium,Ho Chi Minh City,37,17,54,Winter,163,130,28,-102
Oak Street,Kira Chevron Tote,Multi,Pebbled Leather,Large,Ho Chi Minh City,48,15,63,Spring,297,356,65,-291
Madison Avenue,Kira Chevron Tote,Gray,Leather,Small,Hanoi,34,15,49,Summer,88,88,87,-1
Rodeo Drive,Britten Tote,Red,Leather,Mini,Hanoi,38,15,53,Summer,52,52,66,14
San Francisco Centre,Britten Tote,Green,Jacquard,Small,Ho Chi Minh City,30,14,44,Fall,124,136,69,-67
Aventura Mall,T Monogram Tote,Pink,Pebbled Leather,Large,Shenzhen,41,14,55,Summer,192,192,227,35
Madison Avenue,Britten Tote,Black,Canvas,Large,Guangzhou,31,16,47,Summer,254,254,61,-193
Bal Harbour Shops,Britten Tote,Multi,Canvas,Small,Da Nang,32,17,49,Spring,51,61,102,41
El Palacio de Hierro (Polanco),Perry Tote,White,Jacquard,Medium,Da Nang,33,14,47,Summer,141,141,62,-79
Aventura Mall,Kira Chevron Tote,Red,Pebbled Leather,Mini,Guangzhou,48,14,62,Summer,185,185,195,10
Aventura Mall,Kira Chevron Tote,Multi,Jacquard,Small,Ho Chi Minh City,31,15,46,Summer,195,195,55,-140
Pacific Centre,Kira Chevron Tote,Gray,Jacquard,Large,Da Nang,49,16,65,Winter,233,186,172,-14
NorthPark Center,McGraw Tote,Purple,Pebbled Leather,Mini,Shenzhen,49,18,67,Fall,85,93,76,-17
Yorkdale Shopping Centre,Perry Tote,Yellow,Leather,Small,Da Nang,40,14,54,Summer,192,192,85,-107
Westfield World Trade Center,T Monogram Tote,Brown,Pebbled Leather,Medium,Ho Chi Minh City,38,17,55,Fall,116,127,107,-20
Rodeo Drive,Ella Tote,Red,Canvas,Medium,Hanoi,47,17,64,Summer,83,83,101,18
Madison Avenue,Kira Chevron Tote,Brown,Canvas,Medium,Shenzhen,47,14,61,Spring,283,339,131,-208
Soho,Perry Tote,Green,Canvas,Small,Ho Chi Minh City,33,15,48,Summer,159,159,77,-82
NorthPark Center,Britten Tote,Purple,Coated Canvas,Mini,Guangzhou,32,17,49,Spring,98,117,38,-79
Aventura Mall,McGraw Tote,Gray,Coated Canvas,Medium,Guangzhou,49,17,66,Winter,182,145,96,-49
Westfield World Trade Center,Ella Tote,Green,Leather,Small,Ho Chi Minh City,43,15,58,Summer,144,144,106,-38
South Coast Plaza,Kira Chevron Tote,Yellow,Pebbled Leather,Mini,Shenzhen,39,14,53,Fall,59,64,73,9
NorthPark Center,Ella Tote,Multi,Leather,Small,Da Nang,45,15,60,Summer,189,189,127,-62
El Palacio de Hierro (Santa Fe),Britten Tote,Red,Jacquard,Mini,Ho Chi Minh City,40,14,54,Fall,285,313,146,-167
Soho,Robinson Tote,Black,Coated Canvas,Large,Shenzhen,39,17,56,Summer,280,280,320,40
Westfield World Trade Center,Gemini Link Tote,Red,Pebbled Leather,Medium,Da Nang,42,16,58,Winter,257,205,35,-170
Pacific Centre,Kira Chevron Tote,Yellow,Jacquard,Large,Shenzhen,45,17,62,Winter,160,128,131,3
Aventura Mall,Britten Tote,Red,Pebbled Leather,Large,Guangzhou,30,14,44,Winter,209,167,28,-139
Yorkdale Shopping Centre,Perry Tote,Multi,Pebbled Leather,Large,Shenzhen,41,18,59,Winter,151,120,164,44
South Coast Plaza,Gemini Link Tote,Purple,Coated Canvas,Small,Guangzhou,45,14,59,Spring,145,174,52,-122
Rodeo Drive,T Monogram Tote,White,Leather,Mini,Ho Chi Minh City,48,17,65,Summer,75,75,4,-71
Madison Avenue,Ella Tote,Black,Pebbled Leather,Large,Guangzhou,43,17,60,Spring,63,75,46,-29
Soho,McGraw Tote,Brown,Pebbled Leather,Large,Guangzhou,30,14,44,Fall,177,194,8,-186
South Coast Plaza,McGraw Tote,Multi,Pebbled Leather,Small,Shenzhen,46,17,63,Spring,70,84,112,28
El Palacio de Hierro (Santa Fe),T Monogram Tote,White,Leather,Small,Shenzhen,40,14,54,Fall,135,148,8,-140
El Palacio de Hierro (Santa Fe),Perry Tote,Beige,Leather,Large,Guangzhou,49,15,64,Spring,259,310,80,-230
Westfield World Trade Center,T Monogram Tote,Multi,Coated Canvas,Large,Ho Chi Minh City,37,18,55,Fall,139,152,176,24
Yorkdale Shopping Centre,T Monogram Tote,Beige,Coated Canvas,Medium,Ho Chi Minh City,39,14,53,Winter,158,126,140,14
South Coast Plaza,Gemini Link Tote,Gray,Leather,Small,Ho Chi Minh City,31,18,49,Winter,71,56,82,26
South Coast Plaza,Gemini Link Tote,Multi,Leather,Medium,Ho Chi Minh City,42,18,60,Winter,250,200,185,-15
Aventura Mall,Perry Tote,White,Pebbled Leather,Mini,Da Nang,33,18,51,Spring,175,210,34,-176
